Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label,
"def handle_unmet_dependency(self, idents, parent):
        
        engine = idents[0]
        msg_id = parent['msg_id']

        job = self.pending[engine].pop(msg_id)
        job.blacklist.add(engine)

        if job.blacklist == job.targets:
            self.depending[msg_id] = job
            self.fail_unreachable(msg_id)
        elif not self.maybe_run(job):
            # resubmit failed
            if msg_id not in self.all_failed:
                # put it back in our dependency tree
                self.save_unmet(job)

        if self.hwm:
            try:
                idx = self.targets.index(engine)
            except ValueError:
                pass # skip load-update for dead engines
            else:
                if self.loads[idx] == self.hwm-1:
                    self.update_graph(None)","

def func1(arg1, arg2, arg3):
    var1 = arg2[0]
    var2 = arg3['msg_id']
    var3 = self.pending[engine].pop(var2)
    job.blacklist.add(var1)
    if (job.blacklist == job.targets):
        self.depending[var2] = var3
        self.fail_unreachable(var2)
    elif (not self.maybe_run(var3)):
        if (var2 not in self.all_failed):
            self.save_unmet(var3)
    if self.hwm:
        try:
            var4 = self.targets.index(var1)
        except ValueError:
            pass
        else:
            if (self.loads[var4] == (self.hwm - 1)):
                self.update_graph(None)
",handle an unmet dependency,Called when a message is received from the engine .,Handle unmet dependencies .,0,Prediction2,
"def page(strng, start=0, screen_lines=0, pager_cmd=None,
         html=None, auto_html=False):
    

    # Some routines may auto-compute start offsets incorrectly and pass a
    # negative value.  Offset to 0 for robustness.
    start = max(0, start)
    shell = InteractiveShell.instance()

    if auto_html:
        try:
            # These defaults ensure user configuration variables for docutils
            # are not loaded, only our config is used here.
            defaults = {'file_insertion_enabled': 0,
                        'raw_enabled': 0,
                        '_disable_config': 1}
            html = publish_string(strng, writer_name='html',
                                  settings_overrides=defaults)
        except:
            pass
        
    payload = dict(
        source='IPython.zmq.page.page',
        text=strng,
        html=html,
        start_line_number=start
        )
    shell.payload_manager.write_payload(payload)","

def func1(arg1, arg2=0, arg3=0, arg4=None, arg5=None, arg6=False):
    arg2 = max(0, arg2)
    var2 = InteractiveShell.instance()
    if arg6:
        try:
            var3 = {'file_insertion_enabled': 0, 'raw_enabled': 0, '_disable_config': 1}
            arg5 = publish_string(arg1, writer_name='html', settings_overrides=var3)
        except:
            pass
    var5 = dict(source='IPython.zmq.page.page', text=arg1, html=arg5, start_line_number=arg2)
    shell.payload_manager.write_payload(var5)
",Print a string piping through a pager .,This function is called when a command is executed .,Display a page of text .,0,Prediction2,
"def hash(self):
        """"
        if self.sender is None:
            raise MissingSignatureError()

        class HashSerializable(rlp.Serializable):
            fields = [(field, sedes) for field, sedes in self.fields
                      if field not in ('v', 'r', 's')] + [('_sender', binary)]
            _sedes = None
        return sha3(rlp.encode(self, HashSerializable))","

def func1(arg1):
    ''
    if (self.sender is None):
        raise MissingSignatureError()

    class HashSerializable(rlp.Serializable):
        fields = ([(field, sedes) for (field, sedes) in self.fields if (field not in ('v', 'r', 's'))] + [('_sender', binary)])
        _sedes = None
    return sha3(rlp.encode(arg1, var3))
",signatures are non deterministic,signatures are non deterministic,Return a SHA - 3 hash of arg1 .,1,Prediction1,
"def write_to_file(self, filename, do_compress=None):
        
        is_ext_laz = filename.split(""."")[-1] == ""laz""
        if is_ext_laz and do_compress is None:
            do_compress = True
        with open(filename, mode=""wb"") as out:
            self.write_to(out, do_compress=do_compress)","

def func1(arg1, arg2, arg3=None):
    var1 = (filename.split('.')[(- 1)] == 'laz')
    if (var1 and (arg3 is None)):
        arg3 = True
    with open(arg2, mode='wb') as var3:
        self.write_to(var3, do_compress=arg3)
",Writes the las data into a file,Write the data to a file .,Write to a file .,1,Tie,
"def load_variant(self, variant_obj):
        
        # LOG.debug(""Loading variant %s"", variant_obj['_id'])
        try:
            result = self.variant_collection.insert_one(variant_obj)
        except DuplicateKeyError as err:
            raise IntegrityError(""Variant %s already exists in database"", variant_obj['_id'])
        return result","

def func1(arg1, arg2):
    try:
        var1 = self.variant_collection.insert_one(arg2)
    except DuplicateKeyError as err:
        raise IntegrityError('Variant %s already exists in database', arg2['_id'])
    return var1
",Load a variant object,Insert a variant into the database .,Load a single variant into the database .,0,Tie,
"def valid_identifiers(self):
        

        funcs = list(utils.find_all(self.contexts[-1])) + list(self.builtins)
        return funcs","

def func1(arg1):
    var1 = (list(utils.find_all(self.contexts[(- 1)])) + list(self.builtins))
    return var1
",Get a list of all valid identifiers for the current context .,Return a list of all valid identifiers .,Returns a list of variable names for the first argument .,1,Tie,
"def update_storage_account(self, service_name, description=None,
                               label=None, geo_replication_enabled=None,
                               extended_properties=None,
                               account_type='Standard_GRS'):
        '''
        
        '''
        _validate_not_none('service_name', service_name)
        if geo_replication_enabled == False:
            account_type = 'Standard_LRS'
        return self._perform_put(
            self._get_storage_service_path(service_name),
            _XmlSerializer.update_storage_service_input_to_xml(
                description,
                label,
                account_type,
                extended_properties))","

def func1(arg1, arg2, arg3=None, arg4=None, arg5=None, arg6=None, arg7='Standard_GRS'):
    '\n        \n        '
    _validate_not_none('service_name', arg2)
    if (arg5 == False):
        arg7 = 'Standard_LRS'
    return self._perform_put(self._get_storage_service_path(arg2), _XmlSerializer.update_storage_service_input_to_xml(arg3, arg4, arg7, arg6))
",Updates the label the description and enables or disables the geo - replication status for a storage account in Windows Azure .,\ n \ n,Updates a storage account .,0,Prediction2,
"def subscribeToDeviceEvents(self, typeId=""+"", deviceId=""+"", eventId=""+"", msgFormat=""+"", qos=0):
        
        if self._config.isQuickstart() and deviceId == ""+"":
            self.logger.warning(
                ""QuickStart applications do not support wildcard subscription to events from all devices""
            )
            return 0

        topic = ""iot-2/type/%s/id/%s/evt/%s/fmt/%s"" % (typeId, deviceId, eventId, msgFormat)
        return self._subscribe(topic, qos)","

def func1(arg1, arg2='+', arg3='+', arg4='+', arg5='+', arg6=0):
    if (self._config.isQuickstart() and (arg3 == '+')):
        self.logger.warning('QuickStart applications do not support wildcard subscription to events from all devices')
        return 0
    var1 = ('iot-2/type/%s/id/%s/evt/%s/fmt/%s' % (arg2, arg3, arg4, arg5))
    return self._subscribe(var1, arg6)
",Subscribe to device event messages,Subscribe to events from a device .,Subscribe to events from all devices .,1,Prediction1,
"def plot_tree(T, res=None, title=None, cmap_id=""Pastel2""):
    
    import matplotlib.pyplot as plt
    def round_time(t, res=0.1):
        v = int(t / float(res)) * res
        return v

    # Get color map
    cmap = plt.get_cmap(cmap_id)

    # Get segments by level
    level_bounds = []
    for level in T.levels:
        if level == ""root"":
            continue
        segments = T.get_segments_in_level(level)
        level_bounds.append(segments)

    # Plot axvspans for each segment
    B = float(len(level_bounds))
    #plt.figure(figsize=figsize)
    for i, segments in enumerate(level_bounds):
        labels = utils.segment_labels_to_floats(segments)
        for segment, label in zip(segments, labels):
            #print i, label, cmap(label)
            if res is None:
                start = segment.start
                end = segment.end
                xlabel = ""Time (seconds)""
            else:
                start = int(round_time(segment.start, res=res) / res)
                end = int(round_time(segment.end, res=res) / res)
                xlabel = ""Time (frames)""
            plt.axvspan(start, end,
                        ymax=(len(level_bounds) - i) / B,
                        ymin=(len(level_bounds) - i - 1) / B,
                        facecolor=cmap(label))

    # Plot labels
    L = float(len(T.levels) - 1)
    plt.yticks(np.linspace(0, (L - 1) / L, num=L) + 1 / L / 2.,
               T.levels[1:][::-1])
    plt.xlabel(xlabel)
    if title is not None:
        plt.title(title)
    plt.gca().set_xlim([0, end])","

def func2(arg1, arg2=None, arg3=None, arg4='Pastel2'):
    import matplotlib.pyplot as plt

    def func1(arg5, arg2=0.1):
        var1 = (int((arg5 / float(arg2))) * arg2)
        return var1
    var4 = plt.get_cmap(arg4)
    var5 = []
    for var6 in T.levels:
        if (var6 == 'root'):
            continue
        var7 = T.get_segments_in_level(var6)
        level_bounds.append(var7)
    var8 = float(len(var5))
    for (var10, var7) in enumerate(var5):
        var12 = utils.segment_labels_to_floats(var7)
        for (var13, var14) in zip(var7, var12):
            if (arg2 is None):
                var16 = segment.start
                var17 = segment.end
                var18 = 'Time (seconds)'
            else:
                var16 = int((round_time(segment.start, res=arg2) / arg2))
                var17 = int((round_time(segment.end, res=arg2) / arg2))
                var18 = 'Time (frames)'
            plt.axvspan(var16, var17, ymax=((len(var5) - var10) / var8), ymin=(((len(var5) - var10) - 1) / var8), facecolor=cmap(var14))
    var19 = float((len(T.levels) - 1))
    plt.yticks((np.linspace(0, ((var19 - 1) / var19), num=var19) + ((1 / var19) / 2.0)), T.levels[1:][::(- 1)])
    plt.xlabel(var18)
    if (arg3 is not None):
        plt.title(arg3)
    plt.gca().set_xlim([0, var17])
",Plots a given tree containing hierarchical segmentation .,Plot a tree .,Returns a function that can be used to plot a 2D plot .,1,Tie,
"def expand_abbreviations(self, text):
        
        if not self.abbreviations:
            raise LexiconError(""No abbreviations in lexicon."")

        def chunks(data, SIZE=25):
            """"""
            Regex only supports 100 groups for munging callbacks. So we have to
            chunk the abbreviation dicitonary.
            """"""
            it = iter(data)
            for i in range(0, len(data), SIZE):
                yield {k: data[k] for k in islice(it, SIZE)}

        def cb(g):
            """"""Regex callback""""""
            return self.abbreviations.get(g.group(0)) or g.group(0)

        # Special cases.

        # TODO: We should handle these with a special set of
        # replacements that are made before the others.
        text = re.sub(r'w/', r'wi', text)

        # Main loop.
        for subdict in chunks(self.abbreviations):
            regex = r'(\b' + r'\b)|(\b'.join(subdict.keys()) + r'\b)'
            text = re.sub(regex, cb, text)

        return text","

def func3(arg1, arg2):
    if (not self.abbreviations):
        raise LexiconError('No abbreviations in lexicon.')

    def func1(arg3, arg4=25):
        '\n            Regex only supports 100 groups for munging callbacks. So we have to\n            chunk the abbreviation dicitonary.\n            '
        var2 = iter(arg3)
        for var4 in range(0, len(arg3), arg4):
            (yield {var7: arg3[var7] for var7 in islice(var2, arg4)})

    def func2(arg5):
        'Regex callback'
        return (self.abbreviations.get(g.group(0)) or g.group(0))
    arg2 = re.sub('w/', 'wi', arg2)
    for var9 in chunks(self.abbreviations):
        var10 = (('(\\b' + '\\b)|(\\b'.join(subdict.keys())) + '\\b)')
        arg2 = re.sub(var10, func2, arg2)
    return arg2
",Parse a piece of text and replace any abbreviations with their full word equivalents . Uses the lexicon . abbreviations dictionary to find abbreviations .,Regex callback for munging .,Expand abbreviations in text .,0,Prediction2,
"def _minimal_export_traces(self, outdir=None, analytes=None,
                               samples=None, subset='All_Analyses'):
        
        if analytes is None:
            analytes = self.analytes
        elif isinstance(analytes, str):
            analytes = [analytes]

        if samples is not None:
            subset = self.make_subset(samples)

        samples = self._get_samples(subset)

        focus_stage = 'rawdata'
        # ud = 'counts'

        if not os.path.isdir(outdir):
            os.mkdir(outdir)

        for s in samples:
            d = self.data[s].data[focus_stage]
            out = Bunch()

            for a in analytes:
                out[a] = d[a]

            out = pd.DataFrame(out, index=self.data[s].Time)
            out.index.name = 'Time'

            d = dateutil.parser.parse(self.data[s].meta['date'])
            header = ['# Minimal Reproduction Dataset Exported from LATOOLS on %s' %
                      (time.strftime('%Y:%m:%d %H:%M:%S')),
                      ""# Analysis described in '../analysis.lalog'"",
                      '# Run latools.reproduce to import analysis.',
                      '#',
                      '# Sample: %s' % (s),
                      '# Analysis Time: ' + d.strftime('%Y-%m-%d %H:%M:%S')]

            header = '\n'.join(header) + '\n'

            csv = out.to_csv()

            with open('%s/%s.csv' % (outdir, s), 'w') as f:
                f.write(header)
                f.write(csv)
        return","

def func1(arg1, arg2=None, arg3=None, arg4=None, arg5='All_Analyses'):
    if (arg3 is None):
        arg3 = self.analytes
    elif isinstance(arg3, var2):
        arg3 = [arg3]
    if (arg4 is not None):
        arg5 = self.make_subset(arg4)
    arg4 = self._get_samples(arg5)
    var3 = 'rawdata'
    if (not os.path.isdir(arg2)):
        os.mkdir(arg2)
    for var4 in arg4:
        var5 = self.data[s].data[var3]
        var6 = Bunch()
        for var8 in arg3:
            var6[var8] = var5[var8]
        var6 = pd.DataFrame(var6, index=self.data[s].Time)
        out.index.name = 'Time'
        var5 = dateutil.parser.parse(self.data[s].meta['date'])
        var9 = [('# Minimal Reproduction Dataset Exported from LATOOLS on %s' % time.strftime('%Y:%m:%d %H:%M:%S')), ""# Analysis described in '../analysis.lalog'"", '# Run latools.reproduce to import analysis.', '#', ('# Sample: %s' % var4), ('# Analysis Time: ' + d.strftime('%Y-%m-%d %H:%M:%S'))]
        var9 = ('\n'.join(var9) + '\n')
        var10 = out.to_csv()
        with open(('%s/%s.csv' % (arg2, var4)), 'w') as var12:
            f.write(var9)
            f.write(var10)
    return
",Used for exporting minimal dataset . DON T USE .,Minimal Reproduction Dataset Exported from LATOOLS,Minimal Reproduction Dataset Exported from LATOOLS,0,Tie,
"def gravatar_get_url(obj, size=65, default='identicon'):
    
    return get_gravatar_url(obj, size=size, default=default)","

def func1(arg1, arg2=65, arg3='identicon'):
    return get_gravatar_url(arg1, size=arg2, default=arg3)
",Returns Gravatar image URL for a given string or UserModel .,Get gravatar url .,Get a gravatar URL for an object .,0,Tie,
"def get_comments(self, issue_id):
        
        url = urijoin(self.base_url, self.RESOURCE, self.VERSION_API, self.ISSUE, issue_id, self.COMMENT)
        comments = self.get_items(DEFAULT_DATETIME, url, expand_fields=False)

        return comments","

def func1(arg1, arg2):
    var1 = urijoin(self.base_url, self.RESOURCE, self.VERSION_API, self.ISSUE, arg2, self.COMMENT)
    var3 = self.get_items(var4, var1, expand_fields=False)
    return var3
",Retrieve all the comments of a given issue .,Get a list of comments for a given issue .,Get a list of items from a resource .,1,Prediction1,
"def generate():
    
    old_dir = os.getcwd()
    proj_dir = os.path.join(os.path.dirname(__file__), os.pardir)
    os.chdir(proj_dir)
    version = validate_version()
    if not version:
        os.chdir(old_dir)
        return
    print('Generating changelog for version {}'.format(version))
    options = [
        '--user', 'arve0', '--project', 'leicacam', '-v', '--with-unreleased',
        '--future-release', version]
    generator = ChangelogGenerator(options)
    generator.run()
    os.chdir(old_dir)","

def func1():
    var1 = os.getcwd()
    var2 = os.path.join(os.path.dirname(var3), os.pardir)
    os.chdir(var2)
    var4 = validate_version()
    if (not var4):
        os.chdir(var1)
        return
    print('Generating changelog for version {}'.format(var4))
    var7 = ['--user', 'arve0', '--project', 'leicacam', '-v', '--with-unreleased', '--future-release', var4]
    var8 = ChangelogGenerator(var7)
    generator.run()
    os.chdir(var1)
",Generate changelog .,Run the changelog generator .,Generate a changelog for the given version .,0,Tie,
"def write_polfils(str, str_I, **kwargs):
    ''''''

    lin,circ=fracpols(str, **kwargs)
    obs = Waterfall(str_I, max_load=150)

    obs.data = lin
    obs.write_to_fil(str[:-15]+'.linpol.fil')   #assuming file is named *.cross_pols.fil

    obs.data = circ
    obs.write_to_fil(str[:-15]+'.circpol.fil')","

def func1(arg1, arg2, **arg3):
    ''
    (var1, var2) = fracpols(arg1, **arg3)
    var4 = Waterfall(arg2, max_load=150)
    obs.data = var1
    obs.write_to_fil((arg1[:(- 15)] + '.linpol.fil'))
    obs.data = var2
    obs.write_to_fil((arg1[:(- 15)] + '.circpol.fil'))
",Writes two new filterbank files containing fractional linear and circular polarization data,func1 is a wrapper around fracpols,Write a set of fracpols to a file .,0,Prediction2,
"def get_placeholder(self, value=None, compiler=None, connection=None):
        
        return self.encrypt_sql.format(get_setting(connection, 'PUBLIC_PGP_KEY'))","

def func1(arg1, arg2=None, arg3=None, arg4=None):
    return self.encrypt_sql.format(get_setting(arg4, 'PUBLIC_PGP_KEY'))
",Tell postgres to encrypt this field using PGP .,encrypt_sql function .,Get the public GPG key .,0,Prediction1,
"def signal_kernel(self, signum):
        
        if self.has_kernel:
            self.kernel.send_signal(signum)
        else:
            raise RuntimeError(""Cannot signal kernel. No kernel is running!"")","

def func1(arg1, arg2):
    if self.has_kernel:
        self.kernel.send_signal(arg2)
    else:
        raise RuntimeError('Cannot signal kernel. No kernel is running!')
",Sends a signal to the kernel . Note that since only SIGTERM is supported on Windows this function is only useful on Unix systems .,Send a signal to the kernel,Signal kernel .,1,Tie,
"def f_translate_key(self, key):
        
        if isinstance(key, int):
            if key == 0:
                key = self.v_name
            else:
                key = self.v_name + '_%d' % key
        return key","

def func1(arg1, arg2):
    if isinstance(arg2, var2):
        if (arg2 == 0):
            arg2 = self.v_name
        else:
            arg2 = (self.v_name + ('_%d' % arg2))
    return arg2
",Translates integer indices into the appropriate names,Translate key to v_name .,Returns the name of the arg2 .,1,Prediction1,
"def config(self):
        
        if self._config is not None:
            return self._config
        try:
            return current_app.upload_set_config[self.name]
        except AttributeError:
            raise RuntimeError(""cannot access configuration outside request"")","

def func1(arg1):
    if (self._config is not None):
        return self._config
    try:
        return current_app.upload_set_config[self.name]
    except AttributeError:
        raise RuntimeError('cannot access configuration outside request')
",This gets the current configuration . By default it looks up the current application and gets the configuration from there . But if you don t want to go to the full effort of setting an application or it s otherwise outside of a request context set the _config attribute to an UploadConfiguration instance then set it back to None when you re done .,Return the current configuration for this upload set .,Get configuration of upload set .,1,Tie,
"def _init_params(self, amplitude, length_scale, validate_args):
    
    dtype = util.maybe_get_common_dtype(
        [amplitude, length_scale])
    if amplitude is not None:
      amplitude = tf.convert_to_tensor(
          value=amplitude, name='amplitude', dtype=dtype)
    self._amplitude = _validate_arg_if_not_none(
        amplitude, tf.compat.v1.assert_positive, validate_args)
    if length_scale is not None:
      length_scale = tf.convert_to_tensor(
          value=length_scale, name='length_scale', dtype=dtype)
    self._length_scale = _validate_arg_if_not_none(
        length_scale, tf.compat.v1.assert_positive, validate_args)
    return dtype","

def func1(arg1, arg2, arg3, arg4):
    var1 = util.maybe_get_common_dtype([arg2, arg3])
    if (arg2 is not None):
        arg2 = tf.convert_to_tensor(value=arg2, name='amplitude', dtype=var1)
    self._amplitude = _validate_arg_if_not_none(arg2, tf.compat.v1.assert_positive, arg4)
    if (arg3 is not None):
        arg3 = tf.convert_to_tensor(value=arg3, name='length_scale', dtype=var1)
    self._length_scale = _validate_arg_if_not_none(arg3, tf.compat.v1.assert_positive, arg4)
    return var1
",Shared init logic for amplitude and length_scale params .,Internal function for tf . get_variable_dtype .,Initialize parameters .,0,Prediction2,
"def applyLoggingOpts(log_levels, log_files):
    
    for l, lvl in log_levels:
        l.setLevel(lvl)
    for l, hdl in log_files:
        for h in l.handlers:
            l.removeHandler(h)
        l.addHandler(hdl)","

def func1(arg1, arg2):
    for (var1, var2) in arg1:
        l.setLevel(var2)
    for (var1, var3) in arg2:
        for var4 in l.handlers:
            l.removeHandler(var4)
        l.addHandler(var3)
",Apply logging options produced by LogLevelAction and LogFileAction .,Set levels and handlers .,Apply logging options .,0,Tie,
"def assoc(m, *kvs):
    
    if m is None:
        return lmap.Map.empty().assoc(*kvs)
    if isinstance(m, IAssociative):
        return m.assoc(*kvs)
    raise TypeError(
        f""Object of type {type(m)} does not implement Associative interface""
    )","

def func1(arg1, *arg2):
    if (arg1 is None):
        return lmap.Map.empty().assoc(*arg2)
    if isinstance(arg1, var2):
        return m.assoc(*arg2)
    raise TypeError(f'Object of type {type(arg1)} does not implement Associative interface')
",Associate keys to values in associative data structure m . If m is None returns a new Map with key - values kvs .,Return an Associative object .,Returns a new Map containing the values of the given keys .,0,Tie,
"def clear_task_instances(tis,
                         session,
                         activate_dag_runs=True,
                         dag=None,
                         ):
    
    job_ids = []
    for ti in tis:
        if ti.state == State.RUNNING:
            if ti.job_id:
                ti.state = State.SHUTDOWN
                job_ids.append(ti.job_id)
        else:
            task_id = ti.task_id
            if dag and dag.has_task(task_id):
                task = dag.get_task(task_id)
                task_retries = task.retries
                ti.max_tries = ti.try_number + task_retries - 1
            else:
                # Ignore errors when updating max_tries if dag is None or
                # task not found in dag since database records could be
                # outdated. We make max_tries the maximum value of its
                # original max_tries or the current task try number.
                ti.max_tries = max(ti.max_tries, ti.try_number - 1)
            ti.state = State.NONE
            session.merge(ti)

    if job_ids:
        from airflow.jobs import BaseJob as BJ
        for job in session.query(BJ).filter(BJ.id.in_(job_ids)).all():
            job.state = State.SHUTDOWN

    if activate_dag_runs and tis:
        from airflow.models.dagrun import DagRun  # Avoid circular import
        drs = session.query(DagRun).filter(
            DagRun.dag_id.in_({ti.dag_id for ti in tis}),
            DagRun.execution_date.in_({ti.execution_date for ti in tis}),
        ).all()
        for dr in drs:
            dr.state = State.RUNNING
            dr.start_date = timezone.utcnow()","

def func1(arg1, arg2, arg3=True, arg4=None):
    var1 = []
    for var2 in arg1:
        if (ti.state == State.RUNNING):
            if ti.job_id:
                ti.state = State.SHUTDOWN
                job_ids.append(ti.job_id)
        else:
            var3 = ti.task_id
            if (arg4 and dag.has_task(var3)):
                var4 = dag.get_task(var3)
                var5 = task.retries
                ti.max_tries = ((ti.try_number + var5) - 1)
            else:
                ti.max_tries = max(ti.max_tries, (ti.try_number - 1))
            ti.state = State.NONE
            session.merge(var2)
    if var1:
        from airflow.jobs import BaseJob as BJ
        for var7 in session.query(BJ).filter(BJ.id.in_(job_ids)).all():
            job.state = State.SHUTDOWN
    if (arg3 and arg1):
        from airflow.models.dagrun import DagRun
        var8 = session.query(DagRun).filter(DagRun.dag_id.in_({ti.dag_id for ti in tis}), DagRun.execution_date.in_({ti.execution_date for ti in tis})).all()
        for var9 in var8:
            dr.state = State.RUNNING
            dr.start_date = timezone.utcnow()
",Clears a set of task instances but makes sure the running ones get killed .,Clear all the task instances in tis .,Updates the state of one or more tasks .,1,Tie,
"def find_synonyms(self, word, count=20):
        
        j = h2o.api(""GET /3/Word2VecSynonyms"", data={'model': self.model_id, 'word': word, 'count': count})
        return OrderedDict(sorted(zip(j['synonyms'], j['scores']), key=lambda t: t[1], reverse=True))","

def func1(arg1, arg2, arg3=20):
    var1 = h2o.api('GET /3/Word2VecSynonyms', data={'model': self.model_id, 'word': arg2, 'count': arg3})
    return OrderedDict(sorted(zip(var1['synonyms'], var1['scores']), key=(lambda arg4: arg4[1]), reverse=True))
",Find synonyms using a word2vec model .,Find synonyms for a word .,Get Word2Vec Synonyms,1,Tie,
"def season(self):
        
        date = self.date()
        return date.year - 1 if date.month <= 3 else date.year","

def func1(arg1):
    var1 = self.date()
    return ((date.year - 1) if (date.month <= 3) else date.year)
",Returns the year ID of the season in which this game took place . Useful for week 17 January games .,Return the year of the first day of the year,Returns the season of the year .,0,Tie,both bad
"def _exception_pprint(obj, p, cycle):
    
    if obj.__class__.__module__ in ('exceptions', 'builtins'):
        name = obj.__class__.__name__
    else:
        name = '%s.%s' % (
            obj.__class__.__module__,
            obj.__class__.__name__
        )
    step = len(name) + 1
    p.begin_group(step, name + '(')
    for idx, arg in enumerate(getattr(obj, 'args', ())):
        if idx:
            p.text(',')
            p.breakable()
        p.pretty(arg)
    p.end_group(step, ')')","

def func1(arg1, arg2, arg3):
    if (obj.__class__.__module__ in ('exceptions', 'builtins')):
        var1 = obj.__class__.__name__
    else:
        var1 = ('%s.%s' % (obj.__class__.__module__, obj.__class__.__name__))
    var2 = (len(var1) + 1)
    p.begin_group(var2, (var1 + '('))
    for (var4, var5) in enumerate(getattr(arg1, 'args', ())):
        if var4:
            p.text(',')
            p.breakable()
        p.pretty(var5)
    p.end_group(var2, ')')
",Base pprint for all exceptions .,Pretty print an exception .,Prints a function call .,1,Prediction1,
"def setup_platform(hass, config, add_entities, discovery_info=None):
    
    host = config.get(CONF_HOST)
    token = config.get(CONF_ACCESS_TOKEN)
    name = config.get(CONF_NAME)
    volume_step = config.get(CONF_VOLUME_STEP)
    device_type = config.get(CONF_DEVICE_CLASS)
    device = VizioDevice(host, token, name, volume_step, device_type)
    if device.validate_setup() is False:
        _LOGGER.error(""Failed to set up Vizio platform, ""
                      ""please check if host and API key are correct"")
        return
    elif (token is None or token == """") and device_type == ""tv"":
        _LOGGER.error(""Failed to set up Vizio platform, ""
                      ""if device_class is 'tv' then an auth_token needs ""
                      ""to be provided, otherwise if device_class is ""
                      ""'soundbar' then add the right device_class to config"")
        return

    if config.get(CONF_SUPPRESS_WARNING):
        from requests.packages import urllib3
        _LOGGER.warning(""InsecureRequestWarning is disabled ""
                        ""because of Vizio platform configuration"")
        urllib3.disable_warnings(urllib3.exceptions.InsecureRequestWarning)
    add_entities([device], True)","

def func1(arg1, arg2, arg3, arg4=None):
    var1 = config.get(var2)
    var3 = config.get(var4)
    var5 = config.get(var6)
    var7 = config.get(var8)
    var9 = config.get(var10)
    var11 = VizioDevice(var1, var3, var5, var7, var9)
    if (device.validate_setup() is False):
        _LOGGER.error('Failed to set up Vizio platform, please check if host and API key are correct')
        return
    elif (((var3 is None) or (var3 == '')) and (var9 == 'tv')):
        _LOGGER.error(""Failed to set up Vizio platform, if device_class is 'tv' then an auth_token needs to be provided, otherwise if device_class is 'soundbar' then add the right device_class to config"")
        return
    if config.get(var13):
        from requests.packages import urllib3
        _LOGGER.warning('InsecureRequestWarning is disabled because of Vizio platform configuration')
        urllib3.disable_warnings(urllib3.exceptions.InsecureRequestWarning)
    add_entities([var11], True)
",Set up the Vizio media player platform .,Setup Vizio platform .,Set up Vizio device .,1,Tie,
"def validate_whatsapp(attr, value):
    
    if attr in (""from_"", ""to""):
        if value is not None and ""whatsapp:"" in value:
            value = value.split(""whatsapp:+"")[-1]
        check_valid(
            ""WhatsApp"",
            attr,
            value,
            validus.isint,
            ""phone number starting with the '+' symbol"",
        )
    elif attr in (""attachments""):
        check_valid(""WhatsApp"", attr, value, validus.isurl, ""url"")","

def func1(arg1, arg2):
    if (arg1 in ('from_', 'to')):
        if ((arg2 is not None) and ('whatsapp:' in arg2)):
            arg2 = value.split('whatsapp:+')[(- 1)]
        check_valid('WhatsApp', arg1, arg2, validus.isint, ""phone number starting with the '+' symbol"")
    elif (arg1 in 'attachments'):
        check_valid('WhatsApp', arg1, arg2, validus.isurl, 'url')
",WhatsApp input validator function .,Check that a WhatsApp attribute is valid .,Check if the argument is a valid phone number .,1,Prediction1,
"def collection_to_df(collection):
    ''' 
     

    '''

    return pd.concat([record.series for record in collection], axis=1).T","

def func1(arg1):
    ' \n     \n\n    '
    return pd.concat([record.series for record in collection], axis=1).T
",Converts a collection back into a pandas DataFrame,\ n \ n \ n,Convert a collection of records into a pandas DataFrame .,0,Prediction2,
"def create_underline(self, tag):
        
        style = tag.get('style')
        if style and 'text-decoration:underline' in style:
            tag.wrap(self.soup.new_tag('u'))","

def func1(arg1, arg2):
    var1 = tag.get('style')
    if (var1 and ('text-decoration:underline' in var1)):
        tag.wrap(self.soup.new_tag('u'))
",See if span tag has underline style and wrap with u tag .,Wrap underline if text - decoration is present .,Create underline if text - decoration - underline is present in style .,0,Tie,
"def verify_signature(self, value, sig):
        
        key = self.derive_key()
        try:
            sig = base64_decode(sig)
        except Exception:
            return False
        return self.algorithm.verify_signature(key, value, sig)","

def func1(arg1, arg2, arg3):
    var1 = self.derive_key()
    try:
        arg3 = base64_decode(arg3)
    except Exception:
        return False
    return self.algorithm.verify_signature(var1, arg2, arg3)
",Verifies the signature for the given value .,Return True if the signature is valid False otherwise .,Verify that a value is signed by a signature .,0,Tie,
