Clean Code,Corrupted Code,Gold output,Prediction1,Prediction2,Shuffle_Index,Better Label
"function getPropertyDoppelganger(property, isRtl) {
  const convertedProperty = isRtl
    ? propertiesToConvert.rtl[property]
    : propertiesToConvert.ltr[property]

  return convertedProperty || property
}","function func0(variable0, variable1) {
    const variable2 = variable1 ? propertiesToConvert.rtl[variable0] : propertiesToConvert.ltr[variable0];
    return variable2 || variable0;
}",Logically gets the direction of the given property based on the flow direction context,Convert variable0 to variable1,Converts a property name to its equivalent value .,0,Prediction2
"function findParent(node, handle) {
  let current = node
  while (current) {
    if (handle(current)) {
      return current
    }
    current = current.parent
  }
}","function func0(variable0, variable1) {
    let variable2 = variable0;
    while (variable2) {
        if (variable1(variable2)) {
            return variable2;
        }
        variable2 = variable2.parent;
    }
}",start from node self,Find the first node in the tree that satisfies a predicate .,Returns the first variable that is equal to variable1 .,1,Prediction1
"function render (obj, def, html) {
  var i, nodes, handler, parser, element, elementPrototype

  // If given bindings with a root node, pick only the binding keys.
  if (Array.isArray(def)) def = def[1]

  // Generating the render function is processing intensive. Skip if possible.
  if (renderFnKey in def) return def[renderFnKey](obj)

  // Callback API looks weird. This is actually synchronous, not asynchronous.
  handler = new htmlParser.DomHandler(function (error, result) {
    if (error) throw error
    nodes = result
  }, handlerOptions)

  parser = new htmlParser.Parser(handler)
  parser.write(html)
  parser.end()

  for (i = nodes.length; i--;)
    if (nodes[i].type === 'tag') {
      element = nodes[i]
      break
    }

  if (!element) throw new Error('No element found!')

  elementPrototype = Object.getPrototypeOf(element)
  Element.prototype = elementPrototype
  Object.defineProperties(elementPrototype, elementExtension)

  processDefinition(def, nodes)
  def[renderFnKey] = makeRender(def, nodes)

  return def[renderFnKey](obj)
}","function func0(variable0, variable1, variable2) {
    var variable3, variable4, variable5, variable6, variable7, variable8;
    if (Array.isArray(variable1))
        variable1 = variable1[1];
    if (renderFnKey in variable1)
        return variable1[renderFnKey](variable0);
    variable5 = new htmlParser.DomHandler(function (error, result) {
        if (error)
            throw error;
        variable4 = result;
    }, handlerOptions);
    variable6 = new htmlParser.Parser(variable5);
    variable6.write(variable2);
    variable6.end();
    for (variable3 = variable4.length; variable3--;)
        if (variable4[variable3].type === 'tag') {
            variable7 = variable4[variable3];
            break;
        }
    if (!variable7)
        throw new Error('No element found!');
    variable8 = Object.getPrototypeOf(variable7);
    Element.prototype = variable8;
    Object.defineProperties(variable8, elementExtension);
    processDefinition(variable1, variable4);
    variable1[renderFnKey] = makeRender(variable1, variable4);
    return variable1[renderFnKey](variable0);
}",Internal function for rendering strings . The benchmark to beat is plain old string concatenation and for loops . Although this won t be faster it should work with more or less the same functionality as the DOM version .,This function is the function that is called when a template is rendered .,Render an HTML document .,0,Prediction2
"function betweenTags(editor, range) {
	if (equalCursorPos(range.anchor, range.head)) {
		const cursor = range.anchor;
		const mode = editor.getModeAt(cursor);

		if (mode.name === 'xml') {
			const left = editor.getTokenAt(cursor);
			const right = editor.getTokenAt(Object.assign({}, cursor, { ch: cursor.ch + 1 }));

			return left.type === 'tag bracket' && left.string === '>'
				&& right.type === 'tag bracket' && right.string === '</';
		}
	}
}","function func0(variable0, variable1) {
    if (equalCursorPos(variable1.anchor, variable1.head)) {
        const cursor = variable1.anchor;
        const mode = variable0.getModeAt(cursor);
        if (mode.name === 'xml') {
            const left = variable0.getTokenAt(cursor);
            const right = variable0.getTokenAt(Object.assign({}, cursor, { ch: cursor.ch + 1 }));
            return left.type === 'tag bracket' && left.string === '>' && right.type === 'tag bracket' && right.string === '</';
        }
    }
}",Check if given range is a single caret between tags,Returns true if variable0 is equal to variable1,Checks if the cursor is inside an XML tag .,0,Prediction2
"function toRequestQueue(request){
        if(cluster.isMaster){
            if(!Countly.app_key || !Countly.device_id){
                log(""app_key or device_id is missing"");
                return;
            }
            prepareRequest(request);
          
            if(requestQueue.length > queueSize){
                requestQueue.shift();
            }

            requestQueue.push(request);
            storeSet(""cly_queue"", requestQueue);
        }
        else{
            process.send({ cly: {cly_queue: request} });
        }
    }","function func0(variable0) {
    if (cluster.isMaster) {
        if (!Countly.app_key || !Countly.device_id) {
            log('app_key or device_id is missing');
            return;
        }
        prepareRequest(variable0);
        if (requestQueue.length > queueSize) {
            requestQueue.shift();
        }
        requestQueue.push(variable0);
        storeSet('cly_queue', requestQueue);
    } else {
        process.send({ cly: { cly_queue: variable0 } });
    }
}",insert request to queue,Send a request to the countly server .,This function will send a request to Countly,1,Prediction1
"function getShimVersion() {
		var version;

		try {
			version = navigator.plugins['Shockwave Flash'];
			version = version.description;
		} catch (e1) {
			try {
				version = new ActiveXObject('ShockwaveFlash.ShockwaveFlash').GetVariable('$version');
			} catch (e2) {
				version = '0.0';
			}
		}
		version = version.match(/\d+/g);
		return parseFloat(version[0] + '.' + version[1]);
	}","function func0() {
    var variable0;
    try {
        variable0 = navigator.plugins['Shockwave Flash'];
        variable0 = variable0.description;
    } catch (e1) {
        try {
            variable0 = new ActiveXObject('ShockwaveFlash.ShockwaveFlash').GetVariable('$version');
        } catch (e2) {
            variable0 = '0.0';
        }
    }
    variable0 = variable0.match(/\d+/g);
    return parseFloat(variable0[0] + '.' + variable0[1]);
}",Get the version of the Flash Player,Get the version of the current browser .,Get the version of Shockwave Flash,1,Prediction2
"function Imagesloader(opts){
	/**
     * @define {object} Collection of public methods.
     */
    var self = {};

    /**
     * @define {object} Options for the constructor 
     */
    var opts = opts || {};

    /**
	 * @define {object} A image loader object
	 */
	var imageloader = Imageloader();

    /**
     * @define {array} A holder for when an image is loaded
     */
	var imgs = [];

	/**
	 * @define {array} A holder for the image src that should be loaded
	 */
	var srcs = [];

	/**
	 * @define {object} A promise container for promises
	 */
	var def;

	/**
	 * Load a collection of images
	 * @example imageloader.load(['img1.jpg', 'img2.jpg', 'img3.jpg']).success(function(){ // Do something });
	 * @param {array} images A collection of img object or img.src (paths)
	 * @config {object} def Create a promise object
	 * @return {object} Return the promise object
	 */
	function load(images){
		def = Deferred();
		
		/**
		 * Check if the images is img objects or image src
		 * return string of src
		 */
		srcs = convertImagesToSrc(images);

		/**
		 * Loop through src's and load image
		 */
		for (var i = 0; i < srcs.length; i++) {
			imageloader.load(srcs[i])
			.success(function(img){

				/** call imageloaded a pass the img that is loaded */
				imageLoaded(img);
			})
			.error(function(msg){
				def.reject(msg + ' couldn\'t be loaded');
			});
		};
		return def.promise;
	}

	/**
	 * Image loaded checker
	 * @param {img} img The loaded image
	 */
	function imageLoaded(img){

		/** Notify the promise */
		def.notify(""notify"");

		/** Add the image to the imgs array */
		imgs.push(img);

		/** If the imgs array size is the same as the src's */
		if(imgs.length == srcs.length){

			/** First sort images, to have the same order as src's */
			sortImages();

			/** Resolve the promise with the images */
			def.resolve(imgs);
		}
	}

	/**
	 * Convert img to src
	 * @param {array} imgs A collection og img/img paths
	 * @config {array} src A temporally array for storing img path/src
	 * @return {array} Return an array of img src's
	 */
	function convertImagesToSrc(imgs){
		var src = [];
		for (var i = 0; i < imgs.length; i++) {

			/** If the img is an object (img) get the src  */
			if(typeof imgs[i]  == 'object'){
				src.push(imgs[i].src);
			}
		};

		/** If the src array is null return the original imgs array */
		return src.length ? src : imgs;
	}

	/**
	 * Sort images after the originally order
	 * @config {array} arr A temporally array for sorting images
	 */
	function sortImages(){
		var arr = [];
		/**
		 * Create a double loop
		 * And match the order of the srcs array
		 */
		for (var i = 0; i < srcs.length; i++) {
			for (var j = 0; j < imgs.length; j++) {
				var str = imgs[j].src.toString();
				var reg = new RegExp(srcs[i])
				/** If srcs matches the imgs add it the the new array */
				if(str.match(reg)) arr.push(imgs[j]);
			};
		};

		/** Override imgs array with the new sorted arr */
		imgs = arr;
	}

	/**
	 * Public methods
	 * @public {function}
	 */
	self.load = load;

	/**
	 * @return {object} Public methods
	 */
	return self;
}","function func0(variable0) {
    var variable1 = {};
    var variable0 = variable0 || {};
    var variable2 = Imageloader();
    var variable3 = [];
    var variable4 = [];
    var variable5;
    function func1(variable6) {
        variable5 = Deferred();
        variable4 = func3(variable6);
        for (var i = 0; i < variable4.length; i++) {
            variable2.func1(variable4[i]).success(function (variable7) {
                func2(variable7);
            }).error(function (msg) {
                variable5.reject(msg + ' couldn\'t be loaded');
            });
        }
        ;
        return variable5.promise;
    }
    function func2(variable7) {
        variable5.notify('notify');
        variable3.push(variable7);
        if (variable3.length == variable4.length) {
            func4();
            variable5.resolve(variable3);
        }
    }
    function func3(variable3) {
        var variable8 = [];
        for (var i = 0; i < variable3.length; i++) {
            if (typeof variable3[i] == 'object') {
                variable8.push(variable3[i].variable8);
            }
        }
        ;
        return variable8.length ? variable8 : variable3;
    }
    function func4() {
        var variable9 = [];
        for (var i = 0; i < variable4.length; i++) {
            for (var j = 0; j < variable3.length; j++) {
                var variable10 = variable3[j].variable8.function toString() { [native code] }();
                var variable11 = new RegExp(variable4[i]);
                if (variable10.match(variable11))
                    variable9.push(variable3[j]);
            }
            ;
        }
        ;
        variable3 = variable9;
    }
    variable1.func1 = func1;
    return variable1;
}",Image collection loader,Creates a new instance of Imageloader .,Returns a promise that resolves when all variables have been loaded,1,Prediction1
"function getReferencedExportContainer(node) {
            var symbol = getReferencedValueSymbol(node);
            if (symbol) {
                if (symbol.flags & 1048576 /* ExportValue */) {
                    // If we reference an exported entity within the same module declaration, then whether
                    // we prefix depends on the kind of entity. SymbolFlags.ExportHasLocal encompasses all the
                    // kinds that we do NOT prefix.
                    var exportSymbol = getMergedSymbol(symbol.exportSymbol);
                    if (exportSymbol.flags & 944 /* ExportHasLocal */) {
                        return undefined;
                    }
                    symbol = exportSymbol;
                }
                var parentSymbol = getParentOfSymbol(symbol);
                if (parentSymbol) {
                    if (parentSymbol.flags & 512 /* ValueModule */ && parentSymbol.valueDeclaration.kind === 248 /* SourceFile */) {
                        return parentSymbol.valueDeclaration;
                    }
                    for (var n = node.parent; n; n = n.parent) {
                        if ((n.kind === 218 /* ModuleDeclaration */ || n.kind === 217 /* EnumDeclaration */) && getSymbolOfNode(n) === parentSymbol) {
                            return n;
                        }
                    }
                }
            }
        }","function func0(variable0) {
    var variable1 = getReferencedValueSymbol(variable0);
    if (variable1) {
        if (variable1.flags & 1048576) {
            var exportSymbol = getMergedSymbol(variable1.exportSymbol);
            if (exportSymbol.flags & 944) {
                return undefined;
            }
            variable1 = exportSymbol;
        }
        var parentSymbol = getParentOfSymbol(variable1);
        if (parentSymbol) {
            if (parentSymbol.flags & 512 && parentSymbol.valueDeclaration.kind === 248) {
                return parentSymbol.valueDeclaration;
            }
            for (var n = variable0.parent; n; n = n.parent) {
                if ((n.kind === 218 || n.kind === 217) && getSymbolOfNode(n) === parentSymbol) {
                    return n;
                }
            }
        }
    }
}",Emitter support When resolved as an expression identifier if the given node references an exported entity return the declaration node of the exported entity s container . Otherwise return undefined .,Returns the value declaration of the given variable or undefined if it does not exist .,Returns the value declaration of variable0 .,1,Prediction1
"function getTypeFromTypeAliasReference(node, symbol) {
            var type = getDeclaredTypeOfSymbol(symbol);
            var links = getSymbolLinks(symbol);
            var typeParameters = links.typeParameters;
            if (typeParameters) {
                if (!node.typeArguments || node.typeArguments.length !== typeParameters.length) {
                    error(node, ts.Diagnostics.Generic_type_0_requires_1_type_argument_s, symbolToString(symbol), typeParameters.length);
                    return unknownType;
                }
                var typeArguments = ts.map(node.typeArguments, getTypeFromTypeNode);
                var id = getTypeListId(typeArguments);
                return links.instantiations[id] || (links.instantiations[id] = instantiateType(type, createTypeMapper(typeParameters, typeArguments)));
            }
            if (node.typeArguments) {
                error(node, ts.Diagnostics.Type_0_is_not_generic, symbolToString(symbol));
                return unknownType;
            }
            return type;
        }","function func0(variable0, variable1) {
    var variable2 = getDeclaredTypeOfSymbol(variable1);
    var variable3 = getSymbolLinks(variable1);
    var variable4 = variable3.variable4;
    if (variable4) {
        if (!variable0.typeArguments || variable0.typeArguments.length !== variable4.length) {
            error(variable0, ts.Diagnostics.Generic_type_0_requires_1_type_argument_s, symbolToString(variable1), variable4.length);
            return unknownType;
        }
        var typeArguments = ts.map(variable0.typeArguments, getTypeFromTypeNode);
        var id = getTypeListId(typeArguments);
        return variable3.instantiations[id] || (variable3.instantiations[id] = instantiateType(variable2, createTypeMapper(variable4, typeArguments)));
    }
    if (variable0.typeArguments) {
        error(variable0, ts.Diagnostics.Type_0_is_not_generic, symbolToString(variable1));
        return unknownType;
    }
    return variable2;
}",Get type from reference to type alias . When a type alias is generic the declared type of the type alias may include references to the type parameters of the alias . We replace those with the actual type arguments by instantiating the declared type . Instantiations are cached using the type identities of the type arguments as the key .,Returns the generic type of the given variable,Get the type of the given type node .,0,Prediction1
"function consumePair(stream, close, open) {
	const start = stream.pos;
	if (stream.eat(close)) {
		while (!stream.sol()) {
			if (stream.eat(open)) {
				return true;
			}

			stream.pos--;
		}
	}

	stream.pos = start;
	return false;
}","function func0(variable0, variable1, variable2) {
    const variable3 = variable0.pos;
    if (variable0.eat(variable1)) {
        while (!variable0.sol()) {
            if (variable0.eat(variable2)) {
                return true;
            }
            variable0.pos--;
        }
    }
    variable0.pos = variable3;
    return false;
}",Consumes full character pair if possible,returns true if variable0 . eat ( variable1 ),ECMA - 262 13 . 2 . 3,0,Prediction1
"function subDirectoriesWithFile(base, filename) {
  var result = [];
  if (fs.existsSync(base) && fs.statSync(base).isDirectory()) {
    if (fs.existsSync(path.join(base, filename))) {
      result.push(base);
    }
    fs.readdirSync(base)
      .forEach(function (subdir) {
        result.push.apply(result, subDirectoriesWithFile(path.join(base, subdir), filename));
      });
  }
  return result;
}","function func0(variable0, variable1) {
    var variable2 = [];
    if (fs.existsSync(variable0) && fs.statSync(variable0).isDirectory()) {
        if (fs.existsSync(path.join(variable0, variable1))) {
            variable2.push(variable0);
        }
        fs.readdirSync(variable0).forEach(function (subdir) {
            variable2.push.apply(variable2, func0(path.join(variable0, subdir), variable1));
        });
    }
    return variable2;
}",Find all subdirectories of the base recursively .,Get a list of files in a directory recursively .,Recursively walks the directory tree and returns a new array,1,Prediction1
"function getDefinedNames() {
  return Object.keys(primitives).concat(Object.keys(registry).map(function (type) {
    return registry[type].type;
  }));
}","function func0() {
    return Object.keys(primitives).concat(Object.keys(registry).map(function (type) {
        return registry[type].type;
    }));
}",Return all defined type names,Returns a list of all types in the registry .,Returns a list of all the types in the registry .,1,Tie
"function getDataTypeNameByCode(item) {
  if (!item || typeof item.code !== 'number') {
    throw new errors.ArgumentError('Invalid signature type definition');
  }
  const typeName = _dataTypesByCode[item.code];
  if (!typeName) {
    throw new errors.ArgumentError(util.format('Type with code %d not found', item.code));
  }
  if (!item.info) {
    return typeName;
  }
  if (util.isArray(item.info)) {
    return (typeName +
      '<' +
      item.info.map(function (t) {
        return getDataTypeNameByCode(t);
      }).join(', ') +
      '>');
  }
  if (typeof item.info.code === 'number') {
    return typeName + '<' + getDataTypeNameByCode(item.info) + '>';
  }
  return typeName;
}","function func0(variable0) {
    if (!variable0 || typeof variable0.code !== 'number') {
        throw new errors.ArgumentError('Invalid signature type definition');
    }
    const variable1 = _dataTypesByCode[variable0.code];
    if (!variable1) {
        throw new errors.ArgumentError(util.format('Type with code %d not found', variable0.code));
    }
    if (!variable0.info) {
        return variable1;
    }
    if (util.isArray(variable0.info)) {
        return variable1 + '<' + variable0.info.map(function (t) {
            return func0(t);
        }).join(', ') + '>';
    }
    if (typeof variable0.info.code === 'number') {
        return variable1 + '<' + func0(variable0.info) + '>';
    }
    return variable1;
}",Gets the data type name for a given type definition,Converts a signature type definition to a data type string .,Returns a string representation of a signature type .,1,Prediction1
"function closeAllInstances(registry = _registry) {
  const promises = [];
  const errors = [];
  while (registry.length > 0) {
    const knex = registry.pop();
    const destructionPromise = knex.destroy().catch(e => {
      errors.push({
        knex,
        cause: e
      });
    });
    promises.push(destructionPromise);
  }
  return Promise.all(promises).then(() => {
    return errors;
  });
}","function func0(registry = _registry) {
    const variable0 = [];
    const variable1 = [];
    while (registry.length > 0) {
        const variable2 = registry.pop();
        const variable3 = variable2.destroy().catch(e => {
            variable1.push({
                variable2,
                cause: e
            });
        });
        variable0.push(variable3);
    }
    return Promise.all(variable0).then(() => {
        return variable1;
    });
}",Attempts to close all registered knex instances,Destroy all objects in the registry .,Function that will destroy all variables in the registry,1,Tie
"function formatUnusedSnapshotsWarning(list, limit) {
  if (limit == 0) {
    return `Found ${list.length} unused snapshots`;
  }

  const prunedList = formatSnapshotList(list, limit);
  return `Found ${list.length} unused snapshots:\n${prunedList}`;
}","function func0(variable0, variable1) {
    if (variable1 == 0) {
        return `Found ${ variable0.length } unused snapshots`;
    }
    const variable2 = formatSnapshotList(variable0, variable1);
    return `Found ${ variable0.length } unused snapshots:\n${ variable2 }`;
}",Renders the message for unused snapshots warning,Format a list of unused snapshots .,Returns a string describing the number of unused snapshots .,1,Prediction2
"function Cloudinary(options) {
      var configuration;
      this.devicePixelRatioCache = {};
      this.responsiveConfig = {};
      this.responsiveResizeInitialized = false;
      configuration = new Configuration(options);
      this.config = function(newConfig, newValue) {
        return configuration.config(newConfig, newValue);
      };

      /**
       * Use \<meta\> tags in the document to configure this Cloudinary instance.
       * @return {Cloudinary} this for chaining
       */
      this.fromDocument = function() {
        configuration.fromDocument();
        return this;
      };

      /**
       * Use environment variables to configure this Cloudinary instance.
       * @return {Cloudinary} this for chaining
       */
      this.fromEnvironment = function() {
        configuration.fromEnvironment();
        return this;
      };

      /**
       * Initialize configuration.
       * @function Cloudinary#init
       * @see Configuration#init
       * @return {Cloudinary} this for chaining
       */
      this.init = function() {
        configuration.init();
        return this;
      };
    }","function func0(variable0) {
    var variable1;
    this.devicePixelRatioCache = {};
    this.responsiveConfig = {};
    this.responsiveResizeInitialized = false;
    variable1 = new Configuration(variable0);
    this.config = function (newConfig, newValue) {
        return variable1.config(newConfig, newValue);
    };
    this.fromDocument = function () {
        variable1.fromDocument();
        return this;
    };
    this.fromEnvironment = function () {
        variable1.fromEnvironment();
        return this;
    };
    this.init = function () {
        variable1.init();
        return this;
    };
}",Main Cloudinary class,Creates a new Configuration object .,Creates a new DevicePixelRatioCache instance .,0,Prediction1
"function getBookInfo(callback,id){
    if (id===undefined) {
        return callback(returnError('Empty book id'));
    }
    sendRequest( 'addressbooks/' + id, 'GET', {}, true, callback );
}","function func0(variable0, variable1) {
    if (variable1 === undefined) {
        return variable0(returnError('Empty book id'));
    }
    sendRequest('addressbooks/' + variable1, 'GET', {}, true, variable0);
}",Get information about book,Get a book,Get a book,0,Tie
"function GoogleLogin() {
    if (!(this instanceof GoogleLogin)) {
        return new GoogleLogin();
    }
    const self = this;

    /**
     * Based of https://github.com/tejado/pgoapi/blob/master/pgoapi/auth_google.py#L33
     */
    const GOOGLE_LOGIN_ANDROID_ID = '9774d56d682e549c';
    const GOOGLE_LOGIN_SERVICE =
        'audience:server:client_id:848232511240-7so421jotr2609rmqakceuu1luuq0ptb.apps.googleusercontent.com';
    const GOOGLE_LOGIN_APP = 'com.nianticlabs.pokemongo';
    const GOOGLE_LOGIN_CLIENT_SIG = '321187995bc7cdc2b5fc91b11a96e2baa8602c62';

    /**
     * Sets a proxy address to use for logins.
     * @param {string} proxy
     */
    this.setProxy = function(proxy) {
        google.setProxy(proxy);
    };

    /**
     * Performs the Google Login using Android Device and returns a Promise that will be resolved
     * with the auth token.
     * @param {string} username
     * @param {string} password
     * @return {Promise}
     */
    this.login = function(username, password) {
        return self.getMasterToken(username, password)
            .then(loginData => self.getToken(username, loginData))
            .then(authData => authData.Auth);
    };

    /**
     * Performs the Google login by skipping the password step and starting with the Master Token
     * instead. Returns a Promise that will be resolved with the auth token.
     * @param {string} username
     * @param {string} token
     * @return {Promise}
     */
    this.loginWithToken = function(username, token) {
        var loginData = {
            androidId: GOOGLE_LOGIN_ANDROID_ID,
            masterToken: token
        };
        return self.getToken(username, loginData).then(authData => authData.Auth);
    };

    /**
     * Initialize Google Login
     * @param {string} username
     * @param {string} password
     * @return {Promise}
     */
    this.getMasterToken = function(username, password) {
        return new Promise((resolve, reject) => {
            google.login(username, password, GOOGLE_LOGIN_ANDROID_ID, (err, data) => {
                if (err) {
                    if (err.response.statusCode === 403) {
                        reject(Error(
                            'Received code 403 from Google login. This could be because your account has ' +
                            '2-Step-Verification enabled. If that is the case, you need to generate an ' +
                            'App Password and use that instead of your regular password: ' +
                            'https://security.google.com/settings/security/apppasswords'
                        ));
                    } else {
                        reject(Error(err.response.statusCode + ': ' + err.response.statusMessage));
                    }
                    return;
                }

                resolve(data);
            });
        });
    };

    /**
     * Finalizes oAuth request using master token and resolved with the auth data
     * @private
     * @param {string} username
     * @param {string} loginData
     * @return {Promise}
     */
    this.getToken = function(username, loginData) {
        return new Promise((resolve, reject) => {
            google.oauth(username, loginData.masterToken, loginData.androidId,
                GOOGLE_LOGIN_SERVICE, GOOGLE_LOGIN_APP, GOOGLE_LOGIN_CLIENT_SIG, (err, data) => {
                    if (err) {
                        reject(Error(err.response.statusCode + ': ' + err.response.statusMessage));
                        return;
                    }

                    resolve(data);
                });
        });
    };
}","function func0() {
    if (!(this instanceof func0)) {
        return new func0();
    }
    const variable0 = this;
    const variable1 = '9774d56d682e549c';
    const variable2 = 'audience:server:client_id:848232511240-7so421jotr2609rmqakceuu1luuq0ptb.apps.googleusercontent.com';
    const variable3 = 'com.nianticlabs.pokemongo';
    const variable4 = '321187995bc7cdc2b5fc91b11a96e2baa8602c62';
    this.setProxy = function (proxy) {
        google.setProxy(proxy);
    };
    this.login = function (username, password) {
        return variable0.getMasterToken(username, password).then(loginData => variable0.getToken(username, loginData)).then(authData => authData.Auth);
    };
    this.loginWithToken = function (username, token) {
        var loginData = {
            androidId: variable1,
            masterToken: token
        };
        return variable0.getToken(username, loginData).then(authData => authData.Auth);
    };
    this.getMasterToken = function (username, password) {
        return new Promise((resolve, reject) => {
            google.login(username, password, variable1, (err, data) => {
                if (err) {
                    if (err.response.statusCode === 403) {
                        reject(Error('Received code 403 from Google login. This could be because your account has ' + '2-Step-Verification enabled. If that is the case, you need to generate an ' + 'App Password and use that instead of your regular password: ' + 'https://security.google.com/settings/security/apppasswords'));
                    } else {
                        reject(Error(err.response.statusCode + ': ' + err.response.statusMessage));
                    }
                    return;
                }
                resolve(data);
            });
        });
    };
    this.getToken = function (username, loginData) {
        return new Promise((resolve, reject) => {
            google.oauth(username, loginData.masterToken, loginData.androidId, variable2, variable3, variable4, (err, data) => {
                if (err) {
                    reject(Error(err.response.statusCode + ': ' + err.response.statusMessage));
                    return;
                }
                resolve(data);
            });
        });
    };
}",Google login client .,Creates a new GoogleUserContent instance .,Creates a new instance of func0 .,1,Prediction1
"function _delete(sModuleId) {
  const oModules = getModules();
  if (!isTypeOf(oModules[sModuleId], sNotDefined)) {
    delete oModules[sModuleId];
    return true;
  }
  return false;
}","function func0(variable0) {
    const variable1 = getModules();
    if (!isTypeOf(variable1[variable0], sNotDefined)) {
        delete variable1[variable0];
        return true;
    }
    return false;
}",_delete is a wrapper method that will call the native delete javascript function It s important to test the full code .,Remove a module from the registry .,Check if variable0 is defined,1,Prediction1
"function MacroAction(parent, definition) {
  var key;
  for (key in updateMixin) {
    this[key] = updateMixin[key];
  }
  MacroAction.super_.apply(this, arguments);
}","function func0(variable0, variable1) {
    var variable2;
    for (variable2 in updateMixin) {
        this[variable2] = updateMixin[variable2];
    }
    func0.super_.apply(this, arguments);
}",Initialize a new MacroAction with the given parent and definition .,Create a new instance of func0 .,Creates a new instance of the update class .,0,Prediction2
"function getReferencedNestedRedeclaration(node) {
            var symbol = getReferencedValueSymbol(node);
            return symbol && isNestedRedeclarationSymbol(symbol) ? symbol.valueDeclaration : undefined;
        }","function func0(variable0) {
    var variable1 = getReferencedValueSymbol(variable0);
    return variable1 && isNestedRedeclarationSymbol(variable1) ? variable1.valueDeclaration : undefined;
}",When resolved as an expression identifier if the given node references a nested block scoped entity with a name that hides an existing name return the declaration of that entity . Otherwise return undefined .,Returns the value declaration of variable0 .,Gets the value declaration of a referenced value .,0,Prediction2
"function DockerCmdManager(dockerdescPath) {
    dockerdescPath = dockerdescPath || './dockerdesc.json';

    if (!fs.existsSync(dockerdescPath)) {
        throw new Error(util.format('The path ""%s"" does not exists.', dockerdescPath));
    }
    /** @type {string} */
    this.dockerdescDir = path.dirname(dockerdescPath);

    var dockerdescPathStat = fs.statSync(dockerdescPath);
    if (dockerdescPathStat.isDirectory()) {
        this.dockerdescDir = dockerdescPath;
        dockerdescPath = path.join(dockerdescPath, 'dockerdesc.json');
    }
    /** @type {Dockerdesc} */
    var dockerdescContent = fs.readFileSync(dockerdescPath);
    try {
        this.dockerdesc = JSON.parse(dockerdescContent);
    } catch (err) {
        throw new Error('Problem in the dockerdesc.json file format.\n' + err.stack);
    }
}","function func0(variable0) {
    variable0 = variable0 || './dockerdesc.json';
    if (!fs.existsSync(variable0)) {
        throw new Error(util.format('The path ""%s"" does not exists.', variable0));
    }
    this.dockerdescDir = path.dirname(variable0);
    var variable1 = fs.statSync(variable0);
    if (variable1.isDirectory()) {
        this.dockerdescDir = variable0;
        variable0 = path.join(variable0, 'dockerdesc.json');
    }
    var variable2 = fs.readFileSync(variable0);
    try {
        this.dockerdesc = JSON.parse(variable2);
    } catch (err) {
        throw new Error('Problem in the dockerdesc.json file format.\n' + err.stack);
    }
}",This class manages the DockerCmd and handles dockerdesc . json,Parses the Dockerdesc . json file .,Create a new instance of dockerdesc . json,1,Prediction1
"function handleError (err, cb) {
  if (err) {
    if (cb) {
      return process.nextTick(function(){
        cb(err);
      });
    }
    console.error(err);
  }
}","function func0(variable0, variable1) {
    if (variable0) {
        if (variable1) {
            return process.nextTick(function () {
                variable1(variable0);
            });
        }
        console.error(variable0);
    }
}",Error reporting helper,Function to call variable0 with variable1,Logs an error to the console .,0,Prediction2
"function assignRolesToUsers(doc, oldDoc, accessAssignmentDefinition) {
    var users = resolveCollectionDefinition(doc, oldDoc, accessAssignmentDefinition.users);
    var roles = resolveRoleCollectionDefinition(doc, oldDoc, accessAssignmentDefinition.roles);

    role(users, roles);

    return {
      type: 'role',
      users: users,
      roles: roles
    };
  }","function func0(variable0, variable1, variable2) {
    var variable3 = resolveCollectionDefinition(variable0, variable1, variable2.variable3);
    var variable4 = resolveRoleCollectionDefinition(variable0, variable1, variable2.variable4);
    role(variable3, variable4);
    return {
        type: 'role',
        variable3: variable3,
        variable4: variable4
    };
}",Assigns role access to users,Resolve a role collection definition .,This function is used to create a function that can be used to create a function .,1,Prediction1
"function safeDelimiter(s, delimiter) {
  if (delimiter === undefined) {
    delimiter = '```';
  }
  while (s.indexOf(delimiter) !== -1) {
    delimiter += '`';
  }
  return delimiter;
}","function func0(variable0, variable1) {
    if (variable1 === undefined) {
        variable1 = '```';
    }
    while (variable0.indexOf(variable1) !== -1) {
        variable1 += '`';
    }
    return variable1;
}",safeDelimiter tries to find a safe delimiter by appending backticks until it finally finds it .,Returns a string that can be used as a function name .,Creates a string from an array of strings .,0,Prediction2
